term,speech_part,meaning
aalug-alog,adj.,aalug-alog adj. shaky; rickety
aam,n.,aam n. broth made from boiled rice
aanga-anga,adj.,aanga-anga adj. remaining agape for some time
aapa-apa,adj.,aapa-apa adj. groping around
aba,adj.,aba adj. poor; humble; subservient
aba,intrj.,aba! intrj. Well; Hi!
abahin,"v., inf.","abahin (inaaba, inaba, aabahin) v., inf. notify; pay attention to; take care of"
abain,"v., inf.","(inaaba, inaba, aabain) v., inf. look down upon; scorn"
abain,"v., inf.","abain (inaaba, inaba, aabain) v., inf. mistreat; treat badly"
abaka,n.,abaka n. abaka hemp
abakada,n.,n. alphabet
abakadahin,"v., inf.","(inaabakada, inabakada, aabakadahin) v., inf. arrange in alphabetical order"
abako,n.,abako n. counting instrument
abala,adj.,abala adj. 1. occupied; busy; engaged; 2. absorbed; engrossed; obsessed
abala,n.,n. 1. inconvenience; bother; trouble; 2. interruption; disturbance
abala,n.,n. trouble; disturbance
abalahin,"v., inf.","(inaabala, inabala, aabalahin) v., inf. bother or worry someone"
abalang-abala,adj.,abalang-abala adj. occupied; busy
abaloryo,n.,"n. decorative glass bead; bead works on a dress, handbag, etc."
abanderado,n.,n. flag-bearer; standard-bearer
abandonada,adj.,adj. negligent
abandonado-do,adj.,adj. abandoned; neglected
abang,n.,abang n. watcher
abang-aba,adj.,abang-aba adj. very miserable; wretched
abangan,"v., inf.","abangan (inaabangan, inabangan, aabangan) v., inf. wait for; stay hidden, ready to attack; ambush"
abangan,n.,abangan n. place where you wait; place where ambushers wait for the victim
abaniko,n.,n. folding fan
abanikuhan,"v., inf.","(inaabanikuhan, inabanikuhan, aabanikuhan) v., inf. fan (e.g. oneself)"
abanikuhin,"v., inf.","(inaabaniko, inabaniko, aabanikuhin) v., inf. use as a fan"
abano,n.,n. cigar (tobacco)
abante,n.,n. lead (in a game)
Abante!,intrj.,intrj. Go ahead! Proceed!
abasto,n.,n. baggage
abat,n.,abat n. ambush; snare
